County,number of starbucks
Alameda,103
Amador,2
Butte,7
Calaveras,1
Contra Costa,86
Del Norte,1
El Dorado,15
Fresno,48
Glenn,1
Humboldt,6
Imperial,7
Inyo,2
Kern,39
Kings,5
Lake,1
Lassen,3
Los Angeles,591
Madera,5
Marin,25
Mendocino,5
Merced,12
Milita,2
Mono,2
Monterey,30
Napa,11
Nevada,5
Orange,253
Placer,47
Riverside,125
Sacramento,113
San Benito,3
San Bernardino,97
San Diego,265
San Francisco,88
San Joaquin,37
San Luis Obispo,28
San Mateo,62
Santa Barbara,22
Santa Clara,165
Santa Cruz,16
Shasta,11
Siskiyou,1
Solano,29
Sonoma,47
Stanislaus,29
Sutter,5
Tehama,3
Trinity,1
Tulare,17
Tuolumne,3
Ventura,62
Yolo,13
Yuba,1
