id,coordinates
9128,"37.739684,-122.467323"
14672,"34.607218,-118.147264"
11581,"37.777957,-122.41494"
12459,"32.711306,-117.161239"
16593,"33.721537,-116.362753"
17776,"34.057471,-118.415748"
13001,"33.78885,-117.91517"
66234,"38.578005,-121.491472"
1009991,"37.8066139221191,-122.420425415039"
18133,"34.063236,-117.284652"
1006898,"34.0662269592285,-117.322387695313"
17132,"33.744291,-117.191402"
7010,"40.19129477314,-122.23687984919"
1006983,"38.0057220458984,-121.353210449219"
11949,"37.79357,-122.397275"
12572,"39.926821,-122.197884"
12821,"35.400312,-119.397631"
12835,"34.432797,-118.591035"
12530,"39.526333,-122.212535"
14644,"37.943699,-122.056982"
15611,"38.133963,-122.221504"
7755,"38.660707,-121.362801"
7920,"38.084203,-122.234276"
10893,"38.254373,-122.066369"
14902,"38.457123,-121.843163"
15445,"37.763785,-121.950477"
15944,"38.636521,-121.504781"
8818,"38.021118,-122.261202"
12220,"33.91673,-118.049406"
12503,"33.917538,-117.93192"
1010337,"33.9168891906738,-118.011520385742"
16681,"32.791545,-115.570174"
12157,"32.726182,-117.169499"
11817,"34.081073,-117.719007"
69556,"33.740958,-117.432999"
10757,"37.502379,-122.247034"
9460,"37.62478,-122.411357"
13943,"37.617522,-122.06978"
1006418,"37.6330299377441,-122.112121582031"
10948,"38.584273,-121.284538"
8820,"37.099016,-121.015563"
90550,"33.8905982971191,-117.207778930664"
7543,"33.668978,-117.76424"
6605,"33.652591,-117.746527"
16030,"37.764167,-122.466005"
10238,"37.968087,-122.521821"
10037,"37.649487860304,-121.80216922098"
14847,"37.795153,-122.401741"
12072,"34.413316,-119.85509"
14212,"38.574275,-121.4716"
16581,"37.652369,-122.089936"
68810,"33.742743,-116.216602"
11268,"32.740229,-116.940965"
9793,"32.786212,-116.927672"
8717,"33.664019,-117.856996"
18175,"33.656794,-117.865569"
9607,"34.200061,-118.867525"
6747,"33.981541,-118.409088"
9036,"32.717651,-117.159434"
8901,"38.55083130163,-121.53849172497"
10769,"38.308735,-122.295458"
8984,"33.521797,-117.166383"
12608,"33.695649,-117.763252"
13239,"34.247386,-117.208843"
9717,"37.499382,-120.825597"
11294,"37.700232,-121.90793"
15615,"37.807285,-122.41641"
20057,"37.671352,-122.464392"
14618,"34.047513,-117.547842"
13355,"37.780175,-122.478147"
14073,"37.765794,-122.403234"
10054,"37.645549,-121.01849"
7607,"33.803334,-118.07075"
17780,"33.807413,-117.869946"
18527,"33.803179,-118.014901"
15265,"37.790683,-122.403889"
1006577,"32.819751739502,-117.149436950684"
8971,"36.735447,-119.785807"
7955,"38.116529,-121.255048"
14773,"38.115923,-121.305802"
16850,"37.792692,-122.40368"
13947,"37.777114,-122.393598"
11835,"33.138708,-117.174707"
9504,"34.050522,-118.242725"
18420,"34.200032,-118.188539"
15051,"34.063584,-118.376354"
18674,"34.026772,-118.371795"
16531,"34.222932,-118.236195"
12120,"33.917128,-117.960949"
8742,"32.848773,-117.27329"
11254,"32.813927,-117.269973"
1007344,"37.7897186279297,-122.401138305664"
11445,"32.850589,-117.25484"
14829,"32.865068,-117.232112"
10034,"32.763905,-117.02176"
11263,"33.846996,-117.989607"
17122,"33.601106,-117.67383"
12052,"33.556076,-117.710158"
14021,"33.596524,-117.677333"
17223,"33.895675,-117.470346"
8970,"34.050985,-118.344036"
13350,"33.977549,-118.371929"
16849,"37.794606,-122.402695"
8809,"37.891717,-122.120022"
8298,"38.423897,-121.413756"
14758,"38.422848,-121.446347"
15802,"33.54247,-117.784442"
17106,"33.543369,-117.786325"
13337,"33.610229,-117.73104"
17108,"33.526848,-117.717004"
10032,"38.572604,-121.579782"
9475,"40.61037,-122.371285"
1008996,"34.1587219238281,-118.132720947266"
14680,"36.32551757235,-119.67301486298"
11150,"37.319163,-120.478087"
12179,"33.638469,-117.678346"
10960,"33.645484364299,-117.6889686598"
7011,"34.49563,-118.621535"
12828,"32.779741,-117.039799"
12654,"38.954866,-119.944525"
9419,"38.233659,-122.598885"
8324,"33.874989,-118.142364"
1005308,"33.8291015625,-118.1435546875"
8545,"33.925131191253,-118.13157031597"
9874,"33.961079,-118.110757"
8325,"34.19789,-119.179438"
15438,"33.851385,-118.138189"
7025,"38.62626,-121.327643"
15922,"34.164676,-118.374123"
9768,"37.947898,-122.510623"
15563,"34.236566,-119.03743"
17763,"33.142498,-117.19152"
16705,"37.708155,-121.72352"
12063,"37.877682,-122.049526"
17626,"34.103637,-118.073663"
14479,"37.824631289583,-121.28776784442"
12527,"40.801677,-124.167851"
11298,"38.650392,-121.068644"
7165,"37.502947,-122.257189"
8889,"34.157797,-118.396241"
9025,"37.786111,-122.453231"
15564,"34.984702,-118.947186"
1006384,"33.9453086853027,-118.399490356445"
1006012,"33.9453086853027,-118.399490356445"
87657,"33.945215,-118.401876"
13147,"33.946326,-118.40389"
13133,"33.94708,-118.401194"
9472,"38.583388,-121.50054"
14338,"33.946958,-118.401166"
13132,"33.946512,-118.403856"
13146,"33.946189,-118.407245"
9396,"36.307252,-119.781145"
10306,"34.849295,-117.082928"
90216,"33.0652618408203,-117.29369354248"
15159,"33.06853,-117.265286"
9302,"37.802873,-122.402068"
13743,"33.975069,-117.560902"
7994,"33.83521,-117.914039"
14112,"32.731064,-117.160435"
15455,"38.094784,-122.228888"
17362,"33.832868,-117.928441"
9594,"33.979646,-118.439279"
14018,"38.921992,-121.057294"
15436,"34.003455,-118.471965"
1007336,"34.012035369873,-118.48307800293"
9848,"33.832725,-118.03037"
9126,"38.011093,-121.322135"
7576,"38.873734,-121.304185"
18702,"32.801186,-117.15766"
15261,"32.747192,-117.160134"
14589,"32.764901,-117.197102"
1006069,"34.1833877563477,-118.785789489746"
