Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
"10th & Hwy 14, Palmdale",Company Owned,661-266-2314,"39904 10th Street West, 935513003  Los Angeles County, California",Palmdale - Los Angeles County,Los Angeles County,935513003,"34.607218,-118.147264",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.607218,-118.147264&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/14672/us
"11th & Grand, Los Angeles",Company Owned,2137491751,"1111 South Grand Avenue, 900152176  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900152176,"34.041593,-118.262377",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.041593,-118.262377&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/10036/us
"12th & Hill, Los Angeles(AT&T Bldg)",Company Owned,213-749-0487,"1149 S. Hill Street, 900152212  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900152212,"34.03948,-118.261337",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.03948,-118.261337&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,7:30 AM to 2:00 PM,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17033/us
15th & Montana,Company Owned,(310) 394-3449,"1426 Montana Avenue, 904031763  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,904031763,"34.032754,-118.494233",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.032754,-118.494233&fov=90&heading=235&pitch=10",5:30 AM to 8:00 PM,5:30 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16756/us
1875 Century Park E.,Company Owned,(310) 553-8226,"1875 Century Park East, 900672501  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900672501,"34.061043,-118.414938",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.061043,-118.414938&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11138/us
190th & Anza,Company Owned,310-542-1072,"5050 190th Street, 905031004  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905031004,"33.85776,-118.36518",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.85776,-118.36518&fov=90&heading=235&pitch=10",4:30 AM to 12:00 AM,5:00 AM to 12:00 AM,5:00 AM to 12:00 AM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12309/us
1999 Ave. of the Stars,Company Owned,(310) 557-0785,"1999 Avenue of the Stars, 900676022  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900676022,"34.058748,-118.416168",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.058748,-118.416168&fov=90&heading=235&pitch=10",4:30 AM to 7:00 PM,Closed,Closed,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11947/us
2049 Century Park E.,Company Owned,(310) 286-3023,"2049 Century Park East, 900673101  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900673101,"34.0593,-118.412792",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0593,-118.412792&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11946/us
"20th St West & Avenue I, Lancaster",Company Owned,661-723-5708,"1845 W. Avenue I, 935341453  Los Angeles County, California",Lancaster - Los Angeles County,Los Angeles County,935341453,"34.704169,-118.165055",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.704169,-118.165055&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,4:30 AM to 11:00 PM,4:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/10972/us
2950 Beverly Glen Circle - Los Ange,Company Owned,(310) 470-8121,"2952 Beverly Glen Circle, 900771724  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900771724,"34.127492,-118.444054",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.127492,-118.444054&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,6:00 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16579/us
"2nd & Alameda, Los Angeles",Company Owned,213-613-0393,"138 S. Central Avenue, 900123913  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900123913,"34.047996,-118.23902",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.047996,-118.23902&fov=90&heading=235&pitch=10",4:00 AM to 12:00 AM,4:00 AM to 1:00 AM,4:00 AM to 12:00 AM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11382/us
300 E. Huntington Dr. - Arcadia,Company Owned,626-574-1971,"300 E Huntington Drive, 910063746  Los Angeles County, California",Arcadia - Los Angeles County,Los Angeles County,910063746,"34.139778,-118.023892",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.139778,-118.023892&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,4:30 AM to 11:00 PM,4:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11626/us
330 South Hope St.,Company Owned,(213) 620-1945,"330 South Hope Street, 900713115  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900713115,"34.0534,-118.253473",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0534,-118.253473&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/18553/us
"3rd & Gage, Los Angeles",Company Owned,323-265-4124,"3853 E. 3rd Street, 900632403  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900632403,"34.033606,-118.18422",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.033606,-118.18422&fov=90&heading=235&pitch=10",4:30 AM to 12:00 AM,4:30 AM to 12:00 AM,5:30 AM to 12:00 AM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/9948/us
"3rd & Santa Monica, Santa Monica",Company Owned,310-458-0266,"1356 Third Street Promenade, 904011310  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,904011310,"34.015839,-118.496416",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.015839,-118.496416&fov=90&heading=235&pitch=10",5:00 AM to 12:00 AM,5:00 AM to 1:00 AM,5:00 AM to 12:00 AM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12818/us
444 S. Flower - D.T. L.A.,Company Owned,(213) 622-4493,"444 South Flower Street, 90071  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90071,"34.051303,-118.25516",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.051303,-118.25516&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,7:00 AM to 2:30 PM,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15990/us
"445 S. Figueroa Street, Union Bank",Company Owned,(213) 623-9191,"445 S. Figueroa Street, 900711600  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900711600,"34.052829,-118.256962",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.052829,-118.256962&fov=90&heading=235&pitch=10",5:30 AM to 6:30 PM,6:30 AM to 4:00 PM,8:00 AM to 3:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12124/us
"4549 E. Pacific Coast Hwy, Long Bea",Company Owned,562-986-2840,"4549 E. Pacific Coast Hwy, 908043228  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908043228,"33.787807,-118.138834",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.787807,-118.138834&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12387/us
6th & Flower - City National Plaza,Company Owned,(213) 488-9049,"505 S. Flower Street, 90071  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90071,"34.051238,-118.25743",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.051238,-118.25743&fov=90&heading=235&pitch=10",5:30 AM to 6:30 PM,Closed,Closed,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15892/us
"6th & Grand, Los Angeles",Company Owned,213-327-0208,"523 West 6th Street, 900141217  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900141217,"34.048734,-118.254406",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.048734,-118.254406&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17753/us
6th & Spring,Company Owned,213-623-2751,"603 S. Spring Street, 90014  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90014,"34.0458831787109,-118.251289367676",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0458831787109,-118.251289367676&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 12:30 AM,5:00 AM to 11:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/91231/us
"7th & Figueroa, Los Angeles (RAD)",Company Owned,213-488-9902,"735 S. Figueroa Street, 900172563  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900172563,"34.049213,-118.260526",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.049213,-118.260526&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8888/us
7th & Montana Avenue,Company Owned,(310) 394-8020,"701 Montana Avenue, 904031403  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,904031403,"34.027051,-118.501789",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.027051,-118.501789&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12170/us
"7th & Park, Long Beach",Company Owned,562-433-8714,"4740 E. 7th Street, 908044329  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908044329,"33.775185,-118.137605",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.775185,-118.137605&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/7923/us
